category,url,console_uid,slug,page_name,csv_url
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-draft-picks-donruss-rated-rookie-autographs,G47122,basketball-cards-2021-panini-chronicles-draft-picks-donruss-rated-rookie-autographs,2021 Panini Chronicles Draft Picks Donruss Rated Rookie Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47122
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-draft-picks-encased-substantial-rookie-swatches,G47123,basketball-cards-2021-panini-chronicles-draft-picks-encased-substantial-rookie-swatches,2021 Panini Chronicles Draft Picks Encased Substantial Rookie Swatches Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47123
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-draft-picks-mosaic-scripts-autographs,G47130,basketball-cards-2021-panini-chronicles-draft-picks-mosaic-scripts-autographs,2021 Panini Chronicles Draft Picks Mosaic Scripts Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47130
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-draft-picks-origins-rookie-autographs,G47131,basketball-cards-2021-panini-chronicles-draft-picks-origins-rookie-autographs,2021 Panini Chronicles Draft Picks Origins Rookie Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47131
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-draft-picks-prestige-bonus-shots-signatures,G47132,basketball-cards-2021-panini-chronicles-draft-picks-prestige-bonus-shots-signatures,2021 Panini Chronicles Draft Picks Prestige Bonus Shots Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47132
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-draft-picks-rookie-signatures,G47120,basketball-cards-2021-panini-chronicles-draft-picks-rookie-signatures,2021 Panini Chronicles Draft Picks Rookie Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47120
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-draft-picks-score-rookie-autographs,G47133,basketball-cards-2021-panini-chronicles-draft-picks-score-rookie-autographs,2021 Panini Chronicles Draft Picks Score Rookie Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47133
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-draft-picks-threads-rookie-memorabilia,G47134,basketball-cards-2021-panini-chronicles-draft-picks-threads-rookie-memorabilia,2021 Panini Chronicles Draft Picks Threads Rookie Memorabilia Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G47134
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-gold-standard-rookie-jersey-autographs,G56828,basketball-cards-2021-panini-chronicles-gold-standard-rookie-jersey-autographs,2021 Panini Chronicles Gold Standard Rookie Jersey Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56828
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-hall-of-fame-autographs,G56829,basketball-cards-2021-panini-chronicles-hall-of-fame-autographs,2021 Panini Chronicles Hall Of Fame Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56829
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-hometown-heroes-rookie-autographs,G56830,basketball-cards-2021-panini-chronicles-hometown-heroes-rookie-autographs,2021 Panini Chronicles Hometown Heroes Rookie Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56830
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-limited-rookie-jersey-autographs,G56831,basketball-cards-2021-panini-chronicles-limited-rookie-jersey-autographs,2021 Panini Chronicles Limited Rookie Jersey Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56831
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-national-pride-signatures,G56832,basketball-cards-2021-panini-chronicles-national-pride-signatures,2021 Panini Chronicles National Pride Signatures Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56832
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-phoenix-rookie-autographs,G56834,basketball-cards-2021-panini-chronicles-phoenix-rookie-autographs,2021 Panini Chronicles Phoenix Rookie Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56834
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-chronicles-rookie-cornerstones-autographs,G56835,basketball-cards-2021-panini-chronicles-rookie-cornerstones-autographs,2021 Panini Chronicles Rookie Cornerstones Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G56835
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-contenders,G52359,basketball-cards-2021-panini-contenders,2021 Panini Contenders Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G52359
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-contenders-contenders-autographs,G52380,basketball-cards-2021-panini-contenders-contenders-autographs,2021 Panini Contenders Contenders Autographs Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G52380
Basketball,https://www.sportscardspro.com/console/basketball-cards-2021-panini-contenders-draft-class,G52379,basketball-cards-2021-panini-contenders-draft-class,2021 Panini Contenders Draft Class Basketball Cards,https://www.sportscardspro.com/price-guide/download-custom?t=f9a2586ade7cf68f628cb1b4daab613e4adf715f&console-uids=G52379
